timestamp,tool,workers,concurrency,duration_sec,rps,transfer_sec_human,transfer_bytes_sec,latency_ms,failed_requests,connect_errors,read_errors,write_errors,timeout_errors,stop_reason
2026-03-05T12:47:02Z,wrk,4,50,8,23101.34,11.52MB,12079595.520,1.440,0,0,0,0,0,continue
2026-03-05T12:47:10Z,wrk,4,150,8,23062.41,11.50MB,12058624.000,4.190,0,0,0,0,0,continue
2026-03-05T12:47:18Z,wrk,4,250,8,23594.05,11.77MB,12341739.520,6.780,0,0,0,0,0,continue
2026-03-05T12:47:26Z,wrk,4,350,8,22999.54,11.47MB,12027166.720,10.010,0,0,0,0,0,continue
2026-03-05T12:47:34Z,wrk,4,450,8,22806.12,11.38MB,11932794.880,13.120,0,0,0,0,0,continue
2026-03-05T12:47:42Z,wrk,4,550,8,22508.71,11.23MB,11775508.480,15.640,0,0,0,0,0,continue
2026-03-05T12:47:50Z,wrk,4,650,8,22173.07,11.06MB,11597250.560,16.760,0,0,0,0,0,continue
2026-03-05T12:47:58Z,wrk,4,750,8,22331.69,11.14MB,11681136.640,18.840,0,0,0,0,0,continue
2026-03-05T12:48:06Z,wrk,4,850,8,22446.37,11.20MB,11744051.200,19.260,0,0,0,0,0,continue
2026-03-05T12:48:15Z,wrk,4,950,8,21774.56,10.86MB,11387535.360,21.580,0,0,0,0,0,continue
2026-03-05T12:48:23Z,wrk,4,1050,8,21603.44,10.78MB,11303649.280,21.770,31,31,0,0,0,first_socket_error
2026-03-05T12:48:32Z,wrk,8,50,8,22458.21,11.20MB,11744051.200,1.390,0,0,0,0,0,continue
2026-03-05T12:48:40Z,wrk,8,150,8,23526.45,11.73MB,12299796.480,3.750,0,0,0,0,0,continue
2026-03-05T12:48:48Z,wrk,8,250,8,22721.46,11.33MB,11880366.080,6.000,0,0,0,0,0,continue
2026-03-05T12:48:56Z,wrk,8,350,8,22424.51,11.18MB,11723079.680,7.690,0,0,0,0,0,continue
2026-03-05T12:49:04Z,wrk,8,450,8,21860.48,10.90MB,11429478.400,9.490,0,0,0,0,0,continue
2026-03-05T12:49:12Z,wrk,8,550,8,21401.85,10.67MB,11188305.920,11.540,0,0,0,0,0,continue
2026-03-05T12:49:20Z,wrk,8,650,8,21073.00,10.51MB,11020533.760,14.030,0,0,0,0,0,continue
2026-03-05T12:49:29Z,wrk,8,750,8,21633.68,10.79MB,11314135.040,16.510,0,0,0,0,0,continue
2026-03-05T12:49:37Z,wrk,8,850,8,21251.27,10.60MB,11114905.600,18.570,0,0,0,0,0,continue
2026-03-05T12:49:45Z,wrk,8,950,8,21134.31,10.54MB,11051991.040,20.720,0,0,0,0,0,continue
2026-03-05T12:49:53Z,wrk,8,1050,8,20929.04,10.44MB,10947133.440,22.270,31,31,0,0,0,first_socket_error
2026-03-05T12:50:02Z,wrk,16,50,8,20615.56,10.28MB,10779361.280,1.320,0,0,0,0,0,continue
2026-03-05T12:50:10Z,wrk,16,150,8,22783.14,11.36MB,11911823.360,3.500,0,0,0,0,0,continue
2026-03-05T12:50:18Z,wrk,16,250,8,22449.69,11.20MB,11744051.200,5.590,0,0,0,0,0,continue
2026-03-05T12:50:26Z,wrk,16,350,8,22191.89,11.07MB,11607736.320,6.990,0,0,0,0,0,continue
2026-03-05T12:50:34Z,wrk,16,450,8,21711.84,10.83MB,11356078.080,8.950,0,0,0,0,0,continue
2026-03-05T12:50:43Z,wrk,16,550,8,21496.77,10.72MB,11240734.720,11.300,0,0,0,0,0,continue
2026-03-05T12:50:51Z,wrk,16,650,8,21093.80,10.52MB,11031019.520,13.460,0,0,0,0,0,continue
2026-03-05T12:50:59Z,wrk,16,750,8,21013.62,10.48MB,10989076.480,15.490,0,0,0,0,0,continue
2026-03-05T12:51:07Z,wrk,16,850,8,21033.54,10.49MB,10999562.240,17.100,0,0,0,0,0,continue
2026-03-05T12:51:15Z,wrk,16,950,8,21169.89,10.56MB,11072962.560,19.180,0,0,0,0,0,continue
2026-03-05T12:51:23Z,wrk,16,1050,8,20185.69,10.07MB,10559160.320,20.400,31,31,0,0,0,first_socket_error
2026-03-05T12:51:44Z,wrk,4,50,8,25458.44,12.70MB,13316915.200,1.300,0,0,0,0,0,continue
2026-03-05T12:51:52Z,wrk,4,150,8,23287.94,11.62MB,12184453.120,4.070,0,0,0,0,0,continue
2026-03-05T12:52:00Z,wrk,4,250,8,23215.04,11.58MB,12142510.080,6.850,0,0,0,0,0,continue
2026-03-05T12:52:08Z,wrk,4,350,8,22887.51,11.42MB,11974737.920,9.900,0,0,0,0,0,continue
2026-03-05T12:52:16Z,wrk,4,450,8,22142.90,11.04MB,11576279.040,13.290,0,0,0,0,0,continue
2026-03-05T12:52:25Z,wrk,4,550,8,22423.43,11.18MB,11723079.680,15.370,0,0,0,0,0,continue
2026-03-05T12:52:33Z,wrk,4,650,8,22549.48,11.25MB,11796480.000,17.380,0,0,0,0,0,continue
2026-03-05T12:52:41Z,wrk,4,750,8,22728.95,11.34MB,11890851.840,18.320,0,0,0,0,0,continue
2026-03-05T12:52:49Z,wrk,4,850,8,21952.26,10.95MB,11481907.200,20.160,0,0,0,0,0,continue
2026-03-05T12:52:57Z,wrk,4,950,8,22478.70,11.21MB,11754536.960,20.780,0,0,0,0,0,continue
2026-03-05T12:53:05Z,wrk,4,1050,8,22441.09,11.19MB,11733565.440,22.170,31,31,0,0,0,first_socket_error
2026-03-05T12:53:14Z,wrk,8,50,8,22355.77,11.15MB,11691622.400,1.390,0,0,0,0,0,continue
2026-03-05T12:53:22Z,wrk,8,150,8,23157.03,11.55MB,12111052.800,3.840,0,0,0,0,0,continue
2026-03-05T12:53:30Z,wrk,8,250,8,23398.48,11.67MB,12236881.920,6.070,0,0,0,0,0,continue
2026-03-05T12:53:39Z,wrk,8,350,8,22716.74,11.33MB,11880366.080,7.910,0,0,0,0,0,continue
2026-03-05T12:53:47Z,wrk,8,450,8,22153.87,11.05MB,11586764.800,10.710,0,0,0,0,0,continue
2026-03-05T12:53:55Z,wrk,8,550,8,21725.35,10.84MB,11366563.840,11.580,0,0,0,0,0,continue
2026-03-05T12:54:03Z,wrk,8,650,8,21629.20,10.79MB,11314135.040,13.910,0,0,0,0,0,continue
2026-03-05T12:54:11Z,wrk,8,750,8,21362.95,10.66MB,11177820.160,16.570,0,0,0,0,0,continue
2026-03-05T12:54:19Z,wrk,8,850,8,21261.70,10.60MB,11114905.600,19.000,0,0,0,0,0,continue
2026-03-05T12:54:27Z,wrk,8,950,8,20815.04,10.38MB,10884218.880,21.070,0,0,0,0,0,continue
2026-03-05T12:54:35Z,wrk,8,1050,8,20990.02,10.47MB,10978590.720,21.940,31,31,0,0,0,first_socket_error
2026-03-05T12:54:44Z,wrk,16,50,8,20572.91,10.26MB,10758389.760,1.350,0,0,0,0,0,continue
2026-03-05T12:54:53Z,wrk,16,150,8,22364.90,11.15MB,11691622.400,3.480,0,0,0,0,0,continue
2026-03-05T12:55:01Z,wrk,16,250,8,22825.49,11.38MB,11932794.880,5.340,0,0,0,0,0,continue
2026-03-05T12:55:09Z,wrk,16,350,8,22178.28,11.06MB,11597250.560,7.220,0,0,0,0,0,continue
2026-03-05T12:55:17Z,wrk,16,450,8,21506.69,10.73MB,11251220.480,9.760,0,0,0,0,0,continue
2026-03-05T12:55:25Z,wrk,16,550,8,21904.38,10.93MB,11460935.680,12.160,0,0,0,0,0,continue
2026-03-05T12:55:33Z,wrk,16,650,8,21508.53,10.73MB,11251220.480,13.380,0,0,0,0,0,continue
2026-03-05T12:55:41Z,wrk,16,750,8,21293.70,10.62MB,11135877.120,15.340,0,0,0,0,0,continue
2026-03-05T12:55:50Z,wrk,16,850,8,20104.61,10.03MB,10517217.280,17.380,0,0,0,0,0,continue
2026-03-05T12:55:58Z,wrk,16,950,8,21071.65,10.51MB,11020533.760,19.500,0,0,0,0,0,continue
2026-03-05T12:56:06Z,wrk,16,1050,8,20883.80,10.42MB,10926161.920,20.170,31,31,0,0,0,first_socket_error
2026-03-05T12:56:16Z,wrk,4,50,8,22490.04,11.22MB,11765022.720,1.540,0,0,0,0,0,continue
2026-03-05T12:56:25Z,wrk,4,150,8,23570.71,11.76MB,12331253.760,4.050,0,0,0,0,0,continue
2026-03-05T12:56:33Z,wrk,4,250,8,23470.41,11.71MB,12278824.960,6.820,0,0,0,0,0,continue
2026-03-05T12:56:41Z,wrk,4,350,8,23172.30,11.56MB,12121538.560,9.580,0,0,0,0,0,continue
2026-03-05T12:56:49Z,wrk,4,450,8,22191.81,11.07MB,11607736.320,12.940,0,0,0,0,0,continue
2026-03-05T12:56:57Z,wrk,4,550,8,22525.59,11.24MB,11785994.240,15.460,0,0,0,0,0,continue
2026-03-05T12:57:05Z,wrk,4,650,8,22180.86,11.06MB,11597250.560,16.460,0,0,0,0,0,continue
2026-03-05T12:57:13Z,wrk,4,750,8,22328.19,11.14MB,11681136.640,18.900,0,0,0,0,0,continue
2026-03-05T12:57:21Z,wrk,4,850,8,21812.76,10.88MB,11408506.880,20.890,0,0,0,0,0,continue
2026-03-05T12:57:29Z,wrk,4,950,8,21574.61,10.76MB,11282677.760,21.380,0,0,0,0,0,continue
2026-03-05T12:57:38Z,wrk,4,1050,8,21817.56,10.88MB,11408506.880,21.460,31,31,0,0,0,first_socket_error
2026-03-05T12:57:47Z,wrk,8,50,8,21576.31,10.76MB,11282677.760,1.410,0,0,0,0,0,continue
2026-03-05T12:57:55Z,wrk,8,150,8,23682.57,11.81MB,12383682.560,3.740,0,0,0,0,0,continue
2026-03-05T12:58:03Z,wrk,8,250,8,23696.32,11.82MB,12394168.320,6.190,0,0,0,0,0,continue
2026-03-05T12:58:11Z,wrk,8,350,8,22865.46,11.40MB,11953766.400,8.000,0,0,0,0,0,continue
2026-03-05T12:58:19Z,wrk,8,450,8,21470.63,10.71MB,11230248.960,9.420,0,0,0,0,0,continue
2026-03-05T12:58:27Z,wrk,8,550,8,22119.09,11.03MB,11565793.280,12.140,0,0,0,0,0,continue
2026-03-05T12:58:35Z,wrk,8,650,8,21581.35,10.76MB,11282677.760,13.960,0,0,0,0,0,continue
2026-03-05T12:58:44Z,wrk,8,750,8,21479.72,10.71MB,11230248.960,16.610,0,0,0,0,0,continue
2026-03-05T12:58:52Z,wrk,8,850,8,20918.40,10.43MB,10936647.680,19.470,0,0,0,0,0,continue
2026-03-05T12:59:00Z,wrk,8,950,8,21425.05,10.69MB,11209277.440,21.300,0,0,0,0,0,continue
2026-03-05T12:59:08Z,wrk,8,1050,8,21046.17,10.50MB,11010048.000,22.370,31,31,0,0,0,first_socket_error
2026-03-05T12:59:17Z,wrk,16,50,8,20610.20,10.28MB,10779361.280,1.360,0,0,0,0,0,continue
2026-03-05T12:59:25Z,wrk,16,150,8,22573.23,11.26MB,11806965.760,3.700,0,0,0,0,0,continue
